time_s,X_M_m,Y_M_m,psi_M_rad,v_M_mps,delta_R_rad
49.32879806,41.04993658,-1.801144042,0.3413682976,0.9904172905,-0.1242998358
49.62880754,41.32891193,-1.704133669,0.3273862345,0.9786737517,-0.157884339
49.92902732,41.60605992,-1.612551098,0.3104204715,0.9672670728,-0.1874182152
50.22843027,41.88162123,-1.527027512,0.2910828849,0.956281981,-0.2094395767
50.5286839,42.15576014,-1.447962216,0.2703206741,0.9458383231,-0.2204439707
50.82874465,42.42855721,-1.375443577,0.2493746492,0.9360060103,-0.2176308953
51.12860918,42.70000754,-1.309197075,0.2296517918,0.9268045017,-0.1996707395
51.42895317,42.97005899,-1.248572247,0.2125283693,0.9183698481,-0.1672754156
51.72930932,43.23870522,-1.192577477,0.1991383452,0.91110914,-0.123316198
52.02840781,43.50608954,-1.139963961,0.19021885,0.9056410308,-0.07234614241
52.3284924,43.77250228,-1.08935178,0.1860556319,0.902211792,-0.01964825976
52.62886953,44.03824243,-1.039370112,0.1865130952,0.9004531545,0.02981300934
52.92876673,44.3060637,-0.9882709823,0.1912056044,0.9172316163,0.07320907592
53.228616,44.57786604,-0.934556268,0.1995314364,0.929834979,0.1065162835
53.52879643,44.85094331,-0.8778230563,0.2104909846,0.9295631772,0.1281579871
53.82867956,45.12157007,-0.8182690541,0.2228885107,0.9177954001,0.1387050707
54.12851715,45.38694885,-0.756342614,0.2356290571,0.8989389983,0.1399966517
54.42941833,45.64558748,-0.6925554844,0.2478880125,0.8769942812,0.1343579531
54.72939277,45.89377185,-0.6282517185,0.2590117134,0.832211338,0.1244222035
55.02938676,46.12898244,-0.5646917106,0.2686631292,0.7921087852,0.1120361514
55.3287878,46.35330834,-0.5019171872,0.2768747262,0.7608533339,0.09859522691
55.62934804,46.56900297,-0.4397983052,0.2837684379,0.7355591436,0.08508005158
55.92896438,46.77719408,-0.3784193862,0.2894701388,0.7114460022,0.07213460108
56.22925878,46.97736578,-0.3182823103,0.2940878745,0.6819551895,0.06014574664
56.52895355,47.16677118,-0.2605301997,0.2977081572,0.6381416976,0.04932110421
56.82897496,47.34034631,-0.2070066111,0.3004124209,0.5727922514,0.03977537482
57.12988544,47.4923283,-0.159760112,0.3023117058,0.4882504828,0.0315765965
57.42893529,47.61915902,-0.1201146083,0.3035639951,0.3976338879,0.02471842988
57.72929788,47.72009232,-0.08845281031,0.3043407123,0.307584811,0.01909016848
58.02884579,47.79707184,-0.06425355927,0.3047947467,0.2303722075,0.01444418394
58.32956696,47.85864977,-0.04487168114,0.3050645589,0.2000022924,0.01053960059
58.62848163,47.9158782,-0.02684484802,0.3052422501,0.200000982,0.007228888752
58.92904019,47.97310376,-0.008809713257,0.3053588147,0.2000007514,0.004427378583
59.22910738,48.03032764,0.009230556993,0.3054238894,0.2000005756,0.002080044498
59.52838802,48.0875507,0.02727327338,0.3054461359,0.2000004633,0.0001445943917
59.82864714,48.14477367,0.045316218,0.3054334103,0.2000003864,-0.001417152862
60.12892938,48.2019971,0.06335759892,0.3053928135,0.200000331,-0.002642514906
60.42888165,48.25922146,0.08139600829,0.3053307048,0.2000002891,-0.00356832178
